FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.41361,0.25778,0.32874,0.41346,0.29655
0.35888,0.30201,0.26282,0.31317,0.30831
0.39087,0.26744,0.21338,0.45178,0.24283
0.40775,0.25762,0.57458,0.26717,0.39224
0.2669,0.49268,0.41077,0.25307,0.52295
0.24706,0.45269,0.2467,0.32151,0.32216
0.3244,0.35499,0.77209,0.27992,0.31061
0.31122,0.34074,0.29553,0.33273,0.30631
0.30489,0.30093,0.45996,0.30713,0.36496
0.29476,0.34338,0.68982,0.32377,0.37966
0.2769,0.51472,0.2135,0.25245,0.61828
0.25424,0.5344,0.26257,0.27404,0.37478
0.34317,0.34198,0.26282,0.48257,0.37698
0.44738,0.31943,0.54199,0.3598,0.30587
0.32034,0.30442,0.47668,0.30265,0.25962
0.33214,0.28241,0.31213,0.39033,0.3115
0.37069,0.26961,0.87061,0.36221,0.27947
0.32585,0.38226,0.21362,0.30332,0.45599
0.26438,0.4661,0.31238,0.33967,0.37091
0.37538,0.29598,0.32874,0.2351,0.36582
0.25972,0.3528,0.59155,0.2549,0.40858
0.25718,0.41328,0.2793,0.29326,0.46639
0.27003,0.44294,0.32837,0.20736,0.34279
0.25628,0.32455,0.36157,0.38515,0.32425
0.43712,0.37173,0.26282,0.46451,0.35157
0.47977,0.33695,0.27954,0.46145,0.30968
0.47595,0.28429,0.24622,0.44906,0.20373
0.4543,0.24331,0.54224,0.43036,0.31512
0.49566,0.29869,0.2467,0.55179,0.32066
0.46368,0.38005,0.24634,0.38575,0.46677
0.26686,0.55307,0.45996,0.39861,0.47792
0.46699,0.42547,0.27905,0.48461,0.41969
0.48209,0.36098,0.24658,0.45407,0.29837
0.48396,0.30648,0.44348,0.51551,0.25293
0.48449,0.31239,0.59143,0.45458,0.29533
0.4815,0.28408,0.47644,0.52196,0.28709
0.35932,0.40872,0.19739,0.23931,0.56791
0.26534,0.54069,0.52563,0.24947,0.4785
0.29202,0.47605,0.27917,0.36823,0.47546
0.34236,0.42189,0.39417,0.37867,0.5172
0.47815,0.2638,0.57495,0.48008,0.30332
0.49035,0.25887,0.45972,0.4648,0.27533
0.38461,0.3833,0.21338,0.27229,0.47678
0.29125,0.47398,0.39417,0.34048,0.41666
0.36046,0.36185,0.31226,0.36162,0.34254
0.41006,0.32414,0.22998,0.45071,0.28923
0.45877,0.32416,0.39429,0.43738,0.30849
0.38247,0.14228,0.26294,0.42935,0.3342
0.41946,0.32194,0.24609,0.40804,0.3179
0.32565,0.41025,0.2135,0.24914,0.45196
0.29434,0.37017,0.24646,0.33375,0.34377
0.31116,0.26918,0.87061,0.34409,0.29941
0.31993,0.32349,0.36169,0.27665,0.43944
0.26552,0.50219,0.46008,0.33576,0.25791
0.35293,0.25983,0.26282,0.37643,0.29933
0.39763,0.34222,0.23047,0.46591,0.7292
0.4957,0.92201,0.22998,0.46705,0.56846
0.70862,0.34349,0.24646,0.45442,0.47387
0.40581,0.17539,0.83789,0.40363,0.17875
0.42024,0.40924,0.1969,0.42099,0.55099
0.45454,0.35748,0.2135,0.50265,0.58667
0.54651,0.63317,0.44373,0.52015,0.72678
0.52481,0.727,0.36121,0.46186,0.85488
0.53522,0.6076,0.70654,0.66433,0.76259
0.38894,0.24703,0.59119,0.49052,0.27
0.50117,0.31424,0.34485,0.56836,0.35979
0.53577,0.36397,0.41052,0.4966,0.47848
0.49478,0.67475,0.19714,0.51235,0.74917
0.5015,0.75148,0.32849,0.50822,0.76326
0.50769,0.73531,0.4762,0.51072,0.65833
0.50033,0.41645,0.1969,0.48316,0.14613
0.49744,0.32557,0.19666,0.50591,0.55444
0.49897,0.67542,0.19702,0.51046,0.77839
0.46822,0.76228,0.26282,0.42203,0.83405
0.45145,0.77679,0.44373,0.42713,0.45175
0.41764,0.45972,0.52551,0.46943,0.69317
0.45602,0.75912,0.59131,0.4755,0.77802
0.42942,0.13525,0.42712,0.40364,0.20431
0.46732,0.73628,0.24634,0.48305,0.70338
0.47488,0.66874,0.2959,0.45286,0.59115
0.48309,0.62862,0.36145,0.40179,0.44274
0.44764,0.52751,0.27917,0.37794,0.74319
0.37579,0.6911,0.47656,0.41296,0.76503
0.29602,0.751,0.22986,0.3001,0.76928
0.24513,0.56466,0.19727,0.26887,0.29551
0.2616,0.34222,0.31213,0.34979,0.86494
0.34618,0.80036,0.24646,0.32867,0.72417
0.32212,0.75507,0.37805,0.27864,0.78514
0.22497,0.73602,0.31177,0.28602,0.19516
0.30353,0.15404,0.24622,0.39133,0.73117
0.32946,0.77022,0.50903,0.40888,0.73695
0.33124,0.73125,0.27917,0.26062,0.74969
0.29521,0.74464,0.34497,0.29993,0.7127
0.28763,0.57432,0.09875,0.28522,0.31761
0.33033,0.58544,0.19714,0.34471,0.65247
0.34149,0.69412,0.29565,0.39502,0.75844
0.40862,0.71268,0.4762,0.34924,0.76607
0.38171,0.68155,0.26331,0.43025,0.49431
0.42901,0.38992,0.19702,0.43396,0.17708
0.42492,0.25775,0.2959,0.307,0.70058
0.36048,0.68267,0.26306,0.27933,0.62649
0.28816,0.71435,0.41089,0.36978,0.67671
0.34159,0.66754,0.32886,0.26052,0.61418
0.27826,0.66756,0.27917,0.2691,0.50534
0.24872,0.31778,0.34546,0.46892,0.62264
0.45728,0.66443,0.5094,0.43511,0.64831
0.59061,0.36643,0.2135,0.6089,0.07641
0.57524,0.14604,0.24658,0.51631,0.24572
0.53161,0.22283,0.04883,0.51373,0.28958
0.44981,0.67118,0.27954,0.42745,0.57771
0.3661,0.6487,0.24634,0.26467,0.58893
0.28205,0.65939,0.32861,0.25304,0.612
0.27824,0.47055,0.1969,0.26068,0.24164
0.33174,0.2394,0.2627,0.80242,0.29974
0.30575,0.66713,0.24622,0.26969,0.6567
0.31096,0.64844,0.39429,0.39155,0.67482
0.38688,0.6273,0.4436,0.4355,0.54386
0.42067,0.61906,0.42712,0.33762,0.59172
0.36174,0.5945,0.36145,0.4255,0.42196
0.44953,0.4004,0.21362,0.45743,0.2333
0.44978,0.19393,0.49292,0.44843,0.48323
0.44712,0.62251,0.2627,0.4449,0.55785
0.45277,0.61432,0.7887,0.45411,0.54842
0.47553,0.47,0.24658,0.48333,0.25205
0.44987,0.19676,0.31201,0.42659,0.22071
0.41613,0.24087,0.44312,0.397,0.14881
0.4574,0.35116,0.19702,0.47647,0.4366
0.47533,0.47505,0.34497,0.49674,0.51242
0.45268,0.48239,0.5094,0.50636,0.45884
0.51484,0.38165,0.2301,0.49701,0.2435
0.51494,0.31608,0.32825,0.42497,0.50265
0.42084,0.49736,0.32861,0.49918,0.4817
0.43737,0.46355,0.52576,0.32051,0.56387
0.28152,0.52941,0.47632,0.2784,0.53506
0.26585,0.53593,0.50916,0.31913,0.48689
0.3255,0.52841,0.39429,0.36734,0.56866
0.36086,0.58349,0.36108,0.25649,0.57581
0.3079,0.59087,0.29578,0.3047,0.4834
0.33489,0.50462,0.29565,0.37622,0.512
0.3744,0.46469,0.31201,0.3626,0.22735
0.3747,0.21564,0.34509,0.4629,0.64571
0.39867,0.51873,0.55884,0.32404,0.5544
0.34543,0.58115,0.29578,0.4214,0.61985
0.47985,0.57945,0.34473,0.39553,0.30209
0.41163,0.22051,0.36145,0.41685,0.16421
0.41993,0.19779,0.26282,0.44455,0.5613
0.42677,0.6115,0.46008,0.22049,0.66688
0.28873,0.72806,0.36133,0.21486,0.66212
0.26679,0.42933,0.1969,0.28472,0.20245
0.34599,0.38586,0.19727,0.43069,0.63775
0.45514,0.61228,0.32861,0.49485,0.58065
0.48213,0.55755,0.39429,0.51272,0.5711
0.46833,0.54976,0.22986,0.43797,0.55688
0.35818,0.62884,0.22998,0.30005,0.70093
