FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.46786,0.46747,0.29565,0.45802,0.50263
0.4988,0.46678,0.73956,0.52918,0.51145
0.49226,0.55771,0.21368,0.47897,0.66674
0.39573,0.62458,0.2464,0.38837,0.6272
0.49361,0.6079,0.2793,0.44999,0.68229
0.43971,0.61605,2.03699,0.37619,0.61209
0.40682,0.61747,0.91998,0.51843,0.61517
0.53814,0.65141,0.23029,0.6505,0.73212
0.49731,0.61678,1.13354,0.4198,0.58331
0.48475,0.60764,0.2464,0.6348,0.69364
0.65593,0.70702,0.73914,0.54365,0.6692
0.49019,0.63322,0.24664,0.43602,0.59166
0.46084,0.6076,0.37793,0.6342,0.65275
0.6396,0.6698,0.37799,0.6188,0.5989
0.56266,0.59368,0.26288,0.50778,0.58496
0.47782,0.57187,1.13361,0.40405,0.50574
0.41664,0.52049,0.11487,0.43833,0.58917
0.44769,0.47755,0.27936,0.43946,0.36147
0.48994,0.51764,0.31201,0.45029,0.55032
0.4256,0.63048,0.26288,0.29917,0.85691
0.40634,0.8314,0.2467,0.46203,0.80981
0.54614,0.70172,0.19727,0.57309,0.63566
0.66949,0.70653,0.23029,0.72667,0.7643
0.69469,0.73513,0.39423,0.65879,0.75613
0.62014,0.77002,0.32867,0.56557,0.71859
0.5021,0.75809,0.47626,0.48516,0.75867
0.44313,0.77779,0.29559,0.38031,0.80233
0.37662,0.78286,0.41089,0.44216,0.78114
0.47395,0.80382,0.62415,0.62907,0.75233
0.7861,0.68451,0.23029,0.86217,0.67033
0.83793,0.65774,0.49274,0.78574,0.65647
0.77132,0.63255,0.45978,0.7093,0.61147
0.6445,0.58776,0.23138,0.59899,0.5952
0.64017,0.60839,0.27924,0.6625,0.60675
0.69954,0.75625,0.21362,0.75513,0.9041
0.71929,0.82711,0.34485,0.67424,0.81302
0.78653,0.83194,0.21344,0.83175,0.83672
0.80586,0.72048,0.34497,0.74898,0.70453
0.74054,0.72561,0.2793,0.85679,0.86678
0.84551,0.79938,0.39435,0.84396,0.76025
0.78226,0.77104,0.27954,0.60346,0.79399
0.68173,0.82498,0.23022,0.69164,0.81193
0.7484,0.75919,0.2301,0.81037,0.78474
0.79074,0.71844,0.31219,0.85967,0.65908
0.70039,0.67513,0.21362,0.65546,0.60018
0.63181,0.52858,0.22925,0.53797,0.49844
0.61944,0.472,0.22998,0.66597,0.44801
0.87098,0.4638,0.44348,0.89382,0.49868
0.88003,0.37361,0.27917,0.85582,0.27841
0.76181,0.35493,0.24664,0.64699,0.49776
0.70535,0.56139,0.21381,0.82122,0.59277
0.77369,0.62178,0.47626,0.62911,0.6036
0.55548,0.65347,0.46075,0.58307,0.77607
0.56596,0.7906,0.49249,0.49605,0.80036
0.54106,0.80391,0.29541,0.74228,0.77695
0.72916,0.80894,0.46002,0.62383,0.79876
0.5905,0.79086,0.64075,0.5587,0.77942
0.58643,0.68885,0.21362,0.77298,0.56349
0.71108,0.52697,0.24664,0.67652,0.46919
0.63271,0.50891,0.32843,0.62287,0.54501
0.68768,0.65776,0.21362,0.74893,0.80093
0.67698,0.82715,0.26294,0.59215,0.88624
0.56657,0.83314,0.31232,0.5429,0.79804
0.63661,0.74398,0.21356,0.65148,0.72559
0.73986,0.7371,0.22998,0.80355,0.6953
0.73706,0.72903,0.26276,0.69052,0.71728
0.61064,0.75513,0.23016,0.52898,0.76939
0.72205,0.72498,0.41058,0.688,0.69682
0.62222,0.69359,0.57471,0.79104,0.77461
0.71271,0.77992,0.36169,0.65424,0.76735
0.70116,0.77987,0.27936,0.72743,0.77945
0.69762,0.81789,0.32874,0.62319,0.8389
0.63589,0.77927,0.32849,0.65775,0.76784
0.65475,0.76915,0.41058,0.70773,0.72257
0.76393,0.73528,0.24622,0.83162,0.74114
0.79593,0.73329,0.44366,0.72797,0.77661
0.67036,0.67342,0.32861,0.62583,0.69018
0.50001,0.69127,0.80499,0.62834,0.70005
0.65223,0.7211,0.31195,0.7067,0.75923
0.61731,0.70222,0.42737,0.5318,0.70203
0.61153,0.71222,0.24701,0.69582,0.71637
0.6765,0.75069,0.37775,0.60811,0.75534
0.58775,0.80265,0.36163,0.73774,0.87048
0.57105,0.87306,0.19702,0.4602,0.87974
0.50164,0.86674,0.4118,0.58123,0.79767
0.64164,0.82296,0.21344,0.7227,0.8333
0.75364,0.78524,0.24646,0.80008,0.72956
0.72841,0.74901,0.24634,0.69242,0.71622
0.7721,0.75049,0.23004,0.7806,0.75526
0.76387,0.68822,0.24634,0.70883,0.62779
0.58288,0.6881,0.21326,0.52623,0.68753
0.62416,0.61647,0.26276,0.81133,0.6095
0.73444,0.60109,0.31348,0.69481,0.60902
0.7111,0.63153,0.27924,0.83823,0.65202
0.79769,0.69819,0.27936,0.80886,0.86323
