FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.18242,0.7596,0.34485,0.48323,0.66432
0.58534,0.57387,0.21375,0.58319,0.50491
0.7212,0.49558,0.2135,0.884,0.47432
0.84676,0.41994,0.29578,0.88054,0.3917
0.80353,0.39071,0.22986,0.49953,0.47543
0.37813,0.50505,0.29565,0.18382,0.5983
0.16723,0.64675,0.42712,0.4,0.60042
0.76254,0.66967,0.27893,0.85779,0.71016
0.85059,0.69843,0.57483,0.69336,0.68015
0.60151,0.67037,0.21362,0.45221,0.72709
0.26659,0.76049,0.19702,0.19341,0.78209
0.20802,0.76965,0.42712,0.46888,0.73423
0.60134,0.70275,0.21362,0.77024,0.71137
0.81602,0.7404,0.27942,0.87177,0.73997
0.83877,0.76871,0.34485,0.5979,0.76978
0.50564,0.75728,0.24634,0.27585,0.71666
0.21984,0.61295,0.2301,0.20362,0.5771
0.17579,0.49153,0.26306,0.43578,0.39807
0.54057,0.35117,0.24658,0.6304,0.25131
0.74952,0.19406,0.2627,0.87738,0.13272
0.85601,0.1412,0.427,0.61948,0.30832
0.50967,0.42388,0.22998,0.39867,0.50783
0.23875,0.56685,0.19727,0.15724,0.63691
0.14897,0.71132,0.2301,0.11408,0.73871
0.17191,0.74392,0.2793,0.39319,0.62944
0.55543,0.44399,0.23035,0.56404,0.27951
0.84778,0.61839,0.27954,0.89742,0.66925
0.77839,0.6896,0.21362,0.62449,0.73312
0.4752,0.60647,0.19702,0.39972,0.56681
0.16339,0.29834,0.24622,0.13231,0.23347
0.15883,0.23869,0.67346,0.34528,0.35108
0.72678,0.54714,0.21338,0.84627,0.58136
0.84945,0.60759,1.44556,0.69642,0.49769
0.65426,0.4591,0.37781,0.81061,0.52451
0.87416,0.55327,0.44348,0.9013,0.5072
0.87422,0.4982,0.32813,0.71349,0.39998
0.58602,0.42778,0.42847,0.55781,0.55084
0.6004,0.59698,0.39429,0.77219,0.58817
0.79736,0.56904,0.31213,0.85001,0.57577
0.83794,0.541,0.36145,0.76135,0.49608
0.65581,0.4638,0.21326,0.36809,0.38945
0.27503,0.34736,0.22986,0.23753,0.33004
0.25157,0.31439,0.31226,0.46251,0.33961
0.68242,0.41758,0.19714,0.7747,0.5002
0.79093,0.5372,0.27917,0.86282,0.67455
0.85721,0.67714,0.39441,0.76075,0.60247
0.68274,0.55889,0.24658,0.40994,0.46829
0.25121,0.42904,0.21387,0.16868,0.46685
0.19908,0.3599,0.24634,0.41407,0.25921
0.49616,0.18202,0.27942,0.68283,0.23551
0.80791,0.31973,0.24658,0.87321,0.4439
0.84811,0.48597,0.26318,0.74003,0.47041
0.38038,0.31712,0.26282,0.18469,0.34466
0.16491,0.30201,0.29565,0.19782,0.25885
0.31859,0.22317,0.2135,0.47792,0.1756
0.57481,0.15928,0.22998,0.75332,0.1798
0.82577,0.26632,0.24646,0.87118,0.29739
0.88169,0.28318,0.67334,0.86663,0.33849
0.26854,0.39416,0.19714,0.15784,0.4659
0.20883,0.51158,0.24658,0.46278,0.55329
0.64829,0.60368,0.22986,0.8128,0.61877
0.86269,0.70444,0.22998,0.90386,0.74381
0.87676,0.71929,0.32849,0.85481,0.62782
0.64224,0.5774,0.19702,0.44117,0.50804
0.30837,0.50516,0.24646,0.16598,0.48677
0.17195,0.4318,0.29553,0.19462,0.39944
0.3719,0.37072,0.19714,0.55633,0.34984
0.71087,0.31749,0.2135,0.80368,0.30965
0.84229,0.27708,0.29578,0.88929,0.24517
0.84047,0.21225,0.27954,0.63419,0.19077
0.52507,0.19031,0.21387,0.44174,0.21308
0.17309,0.37141,0.2627,0.16385,0.45577
0.19935,0.45571,0.26306,0.5375,0.53281
0.68952,0.59087,0.31201,0.8335,0.55553
0.84966,0.48646,0.34497,0.8818,0.40347
0.73789,0.28478,0.19727,0.52948,0.19888
0.46116,0.22763,0.24695,0.21182,0.36591
0.17388,0.46355,0.24646,0.12808,0.58922
0.16728,0.64725,0.2793,0.41053,0.47296
0.59041,0.38203,0.39453,0.70694,0.31347
0.85905,0.42325,0.37781,0.68943,0.49902
0.48877,0.54146,0.19678,0.23423,0.59291
0.20873,0.63617,0.29565,0.18121,0.67605
0.1964,0.68423,0.27917,0.31927,0.71307
0.66606,0.72324,0.31189,0.8304,0.7333
0.85435,0.76932,0.31238,0.8771,0.77903
0.84451,0.75445,0.2627,0.64189,0.67474
0.46836,0.62126,0.19739,0.34279,0.58781
0.20061,0.34164,0.22961,0.13973,0.25194
0.18022,0.24172,0.24646,0.45412,0.14418
0.57081,0.29605,0.19751,0.69037,0.51972
0.7632,0.59351,0.26294,0.79101,0.71519
0.85245,0.7408,0.24634,0.90608,0.79048
0.7535,0.75013,0.21411,0.52207,0.68987
0.41202,0.62747,0.22998,0.22172,0.56719
0.18783,0.53046,0.2627,0.17062,0.49647
0.27189,0.39865,0.21375,0.45279,0.27032
0.53822,0.16859,0.24634,0.82319,0.21985
0.83533,0.31565,0.24646,0.8733,0.38222
0.84608,0.39543,0.32849,0.62854,0.33703
0.39435,0.26322,0.2467,0.21831,0.26049
0.18851,0.22387,0.36182,0.16296,0.16378
0.31732,0.149,0.19714,0.44644,0.1064
0.58346,0.24399,0.19727,0.64389,0.29051
0.72128,0.31179,0.24622,0.81418,0.35701
0.88376,0.42628,0.60791,0.70441,0.39871
0.53226,0.42571,0.19714,0.34053,0.44055
0.15599,0.60796,0.26331,0.1942,0.66964
0.63941,0.66965,0.19702,0.72701,0.70498
0.77471,0.66088,0.24695,0.80308,0.65218
0.89221,0.5063,0.39441,0.91064,0.4178
0.90539,0.37167,0.3446,0.90863,0.34802
0.86314,0.3685,0.22998,0.48442,0.41347
0.25223,0.49346,0.2135,0.15975,0.50886
0.24428,0.53714,0.2467,0.42785,0.60376
0.69446,0.60343,0.24609,0.87579,0.61645
0.87998,0.57559,0.24646,0.89721,0.52139
0.82445,0.49782,0.22937,0.5218,0.38357
0.46336,0.34425,0.2627,0.42622,0.30694
0.21051,0.31245,0.50916,0.37324,0.20338
0.44678,0.14122,0.26282,0.55036,0.15601
0.74454,0.18212,0.2135,0.86147,0.21178
0.88857,0.26389,0.31238,0.89474,0.28187
0.76033,0.17268,0.19727,0.68123,0.13735
0.28528,0.58102,0.22998,0.26434,0.65529
0.13349,0.76451,0.26282,0.12184,0.85037
0.15968,0.7352,0.22998,0.33866,0.46603
0.36452,0.43059,0.2627,0.40654,0.24062
0.81418,0.5323,0.27917,0.87578,0.62185
0.86595,0.62249,0.41028,0.72277,0.58191
